"time","siteID","gcc_90","gcc_sd","doy","daily_min","daily_max","year"
2021-03-01,"HARV",0.33102,0.000114991683816437,60,NA,NA,NA
2021-03-05,"HARV",0.33018,0.000132178142007241,64,NA,NA,NA
2021-03-06,"HARV",0.33027,0.000182252321168826,65,NA,NA,NA
2021-03-07,"HARV",0.33023,0.00017248406492503,66,NA,NA,NA
2021-03-08,"HARV",0.3302,0.000190247396399355,67,NA,NA,NA
2021-03-09,"HARV",0.3309,0.000165841079571598,68,NA,NA,NA
2021-03-10,"HARV",0.33073,0.000191409193049012,69,NA,NA,NA
2021-03-11,"HARV",0.33113,0.000135617475245034,70,NA,NA,NA
2021-03-12,"HARV",0.32976,0.000150749035939647,71,NA,NA,NA
2021-03-13,"HARV",0.32893,0.000319006030267358,72,NA,NA,NA
2021-03-14,"HARV",0.32922,0.000405472555753645,73,NA,NA,NA
2021-03-15,"HARV",0.32808,0.000225191279238107,74,NA,NA,NA
2021-03-16,"HARV",0.32881,0.000146786148765438,75,NA,NA,NA
2021-03-17,"HARV",0.32937,0.000115828030515337,76,NA,NA,NA
2021-03-18,"HARV",0.32896,0.000337972103667064,77,NA,NA,NA
2021-03-19,"HARV",0.32804,0.000152931004851532,78,NA,NA,NA
2021-03-20,"HARV",0.32834,0.000150567362373943,79,NA,NA,NA
2021-03-21,"HARV",0.32855,0.000222146721142328,80,NA,NA,NA
2021-03-22,"HARV",0.32848,0.000260918077689741,81,NA,NA,NA
2021-03-23,"HARV",0.32816,0.000182311614819131,82,NA,NA,NA
2021-03-24,"HARV",0.32872,0.000163194607754056,83,NA,NA,NA
2021-03-25,"HARV",0.32893,0.000153885459657104,84,NA,NA,NA
2021-03-26,"HARV",0.3321,0.000383592194702578,85,NA,NA,NA
2021-03-27,"HARV",0.32887,0.000211651871463204,86,NA,NA,NA
2021-03-28,"HARV",0.33316,0.000587626820354545,87,NA,NA,NA
2021-03-29,"HARV",0.32826,0.000118983792413695,88,NA,NA,NA
2021-03-30,"HARV",0.32859,0.000197523058845059,89,NA,NA,NA
2021-03-31,"HARV",0.3307,0.000179708607677734,90,NA,NA,NA
2021-04-01,"HARV",0.32929,0.000190706721091294,91,NA,NA,NA
2021-04-02,"HARV",0.32782,0.000151813581979579,92,NA,NA,NA
2021-04-03,"HARV",0.32798,0.000185585037442281,93,NA,NA,NA
2021-04-04,"HARV",0.32878,0.000105441077461898,94,NA,NA,NA
2021-04-05,"HARV",0.32878,0.000152712128810099,95,NA,NA,NA
2021-04-06,"HARV",0.32939,7.34701272071686e-05,96,NA,NA,NA
2021-04-07,"HARV",0.32951,0.000295425203766395,97,NA,NA,NA
2021-04-08,"HARV",0.3294,0.000204277778067619,98,NA,NA,NA
2021-04-09,"HARV",0.32935,9.31973985797894e-05,99,NA,NA,NA
2021-04-10,"HARV",0.32958,0.000154181049154456,100,NA,NA,NA
2021-04-11,"HARV",0.33027,0.000200456495356509,101,NA,NA,NA
2021-04-12,"HARV",0.33048,0.000304836566449798,102,NA,NA,NA
2021-04-13,"HARV",0.3302,0.00035050862401687,103,NA,NA,NA
2021-04-14,"HARV",0.33028,0.000285778681314545,104,NA,NA,NA
2021-04-15,"HARV",0.33098,0.000266222651177556,105,NA,NA,NA
2021-04-16,"HARV",0.33202,0.000446568999170808,106,NA,NA,NA
2021-04-17,"HARV",0.33232,0.000225665531805149,107,NA,NA,NA
2021-04-18,"HARV",0.33189,7.17403936540095e-05,108,NA,NA,NA
2021-04-19,"HARV",0.32999,0.000304356461259157,109,NA,NA,NA
2021-04-20,"HARV",0.33137,0.000318531654147394,110,NA,NA,NA
2021-04-21,"HARV",0.3321,0.000850900669518934,111,NA,NA,NA
2021-04-22,"HARV",0.32897,0.000188524155329917,112,NA,NA,NA
2021-04-23,"HARV",0.32947,0.000117577460355598,113,NA,NA,NA
2021-04-24,"HARV",0.33043,8.96919467183253e-05,114,NA,NA,NA
2021-04-25,"HARV",0.33028,0.00024759710855192,115,NA,NA,NA
2021-03-01,"BART",0.34752,0.000767838993539665,60,NA,NA,NA
2021-03-02,"BART",0.34281,0.000515580951897169,61,NA,NA,NA
2021-03-03,"BART",0.34626,0.000103244421700368,62,NA,NA,NA
2021-03-04,"BART",0.34401,0.00010569530524589,63,NA,NA,NA
2021-03-05,"BART",0.34459,5.80974726346343e-05,64,NA,NA,NA
2021-03-06,"BART",0.34439,0.000239256945818603,65,NA,NA,NA
2021-03-07,"BART",0.3438,0.000233662935329797,66,NA,NA,NA
2021-03-08,"BART",0.34428,0.00053573359355682,67,NA,NA,NA
2021-03-09,"BART",0.34671,0.000219658599668117,68,NA,NA,NA
2021-03-10,"BART",0.34514,0.00200145334949483,69,NA,NA,NA
2021-03-11,"BART",0.34765,0.000524194237251178,70,NA,NA,NA
2021-03-12,"BART",0.34518,0.00227811512099143,71,NA,NA,NA
2021-03-13,"BART",0.34398,0.000823861372577021,72,NA,NA,NA
2021-03-14,"BART",0.34626,0.000403019774670567,73,NA,NA,NA
2021-03-15,"BART",0.34333,0.000618491260063954,74,NA,NA,NA
2021-03-16,"BART",0.34515,0.000479549842060659,75,NA,NA,NA
2021-03-17,"BART",0.34495,0.000565193519323886,76,NA,NA,NA
2021-03-18,"BART",0.34665,0.000126797967214765,77,NA,NA,NA
2021-03-19,"BART",0.34383,0.00024795426256979,78,NA,NA,NA
2021-03-20,"BART",0.3451,0.00137558091624697,79,NA,NA,NA
2021-03-21,"BART",0.34542,0.00197437420982147,80,NA,NA,NA
2021-03-22,"BART",0.34543,0.00204599579068731,81,NA,NA,NA
2021-03-23,"BART",0.34563,0.000701316249662602,82,NA,NA,NA
2021-03-24,"BART",0.34749,5.05997862381552e-05,83,NA,NA,NA
2021-03-25,"BART",0.34787,0.000388534922654915,84,NA,NA,NA
2021-03-26,"BART",0.35227,0.000429525492341766,85,NA,NA,NA
2021-03-27,"BART",0.34464,0.00108330160497754,86,NA,NA,NA
2021-03-28,"BART",0.34773,0.000319795812406373,87,NA,NA,NA
2021-03-29,"BART",0.34517,0.00112754204410501,88,NA,NA,NA
2021-03-30,"BART",0.34423,0.0010543478177605,89,NA,NA,NA
2021-03-31,"BART",0.34776,0.000317559201615411,90,NA,NA,NA
2021-04-01,"BART",0.34547,0.000133806158913801,91,NA,NA,NA
2021-04-02,"BART",0.34298,0.000269989012626021,92,NA,NA,NA
2021-04-03,"BART",0.3422,0.000598150150080069,93,NA,NA,NA
2021-04-04,"BART",0.34319,0.000963941700328742,94,NA,NA,NA
2021-04-05,"BART",0.34539,0.000133581741389518,95,NA,NA,NA
2021-04-06,"BART",0.34513,0.000362091430555367,96,NA,NA,NA
2021-04-07,"BART",0.34478,0.000609674553532043,97,NA,NA,NA
2021-04-08,"BART",0.34392,0.00223412243648921,98,NA,NA,NA
2021-04-09,"BART",0.34374,0.00224852644718124,99,NA,NA,NA
2021-04-10,"BART",0.34627,0.00165032865001527,100,NA,NA,NA
