"","time","siteID","obs_flag","forecast","data_assimilation","statistic","gcc_90"
"1",2021-04-15,"BART",2,1,0,"mean",0.407411623951002
"2",2021-04-15,"BART",2,1,0,"sd",0.0270755873397835
"3",2021-04-16,"BART",2,1,0,"mean",0.407904714558286
"4",2021-04-16,"BART",2,1,0,"sd",0.0270082781619721
"5",2021-04-17,"BART",2,1,0,"mean",0.407762078927171
"6",2021-04-17,"BART",2,1,0,"sd",0.026657315387621
"7",2021-04-18,"BART",2,1,0,"mean",0.406715321810081
"8",2021-04-18,"BART",2,1,0,"sd",0.0259698606802913
"9",2021-04-19,"BART",2,1,0,"mean",0.408095792491454
"10",2021-04-19,"BART",2,1,0,"sd",0.0273497796648431
"11",2021-04-20,"BART",2,1,0,"mean",NA
"12",2021-04-20,"BART",2,1,0,"sd",NA
"13",2021-04-21,"BART",2,1,0,"mean",NA
"14",2021-04-21,"BART",2,1,0,"sd",NA
"15",2021-04-22,"BART",2,1,0,"mean",NA
"16",2021-04-22,"BART",2,1,0,"sd",NA
"17",2021-04-23,"BART",2,1,0,"mean",NA
"18",2021-04-23,"BART",2,1,0,"sd",NA
"19",2021-04-24,"BART",2,1,0,"mean",NA
"20",2021-04-24,"BART",2,1,0,"sd",NA
"21",2021-04-25,"BART",2,1,0,"mean",NA
"22",2021-04-25,"BART",2,1,0,"sd",NA
"23",2021-04-26,"BART",2,1,0,"mean",NA
"24",2021-04-26,"BART",2,1,0,"sd",NA
"25",2021-04-27,"BART",2,1,0,"mean",NA
"26",2021-04-27,"BART",2,1,0,"sd",NA
"27",2021-04-28,"BART",2,1,0,"mean",NA
"28",2021-04-28,"BART",2,1,0,"sd",NA
"29",2021-04-29,"BART",2,1,0,"mean",NA
"30",2021-04-29,"BART",2,1,0,"sd",NA
"31",2021-04-30,"BART",2,1,0,"mean",NA
"32",2021-04-30,"BART",2,1,0,"sd",NA
"33",2021-05-01,"BART",2,1,0,"mean",NA
"34",2021-05-01,"BART",2,1,0,"sd",NA
"35",2021-05-02,"BART",2,1,0,"mean",NA
"36",2021-05-02,"BART",2,1,0,"sd",NA
"37",2021-05-03,"BART",2,1,0,"mean",NA
"38",2021-05-03,"BART",2,1,0,"sd",NA
"39",2021-05-04,"BART",2,1,0,"mean",NA
