"time","siteID","gcc_90","gcc_sd","doy","daily_min","daily_max","year","GDD_day","GDD"
2017-01-01,"HARV",0.33002,0.000880621325183161,1,-1.5007,1.4741,2017,0,0
2017-01-02,"HARV",0.32976,0.000132703444121213,2,-4.607,0.7075,2017,0,0
2017-01-03,"HARV",0.3301,0.00011467118030192,3,-0.5548,1.749,2017,0,0
2017-01-04,"HARV",0.33048,0.000358191318164139,4,-0.0792,3.541,2017,0,0
2017-01-05,"HARV",0.32928,0.00036558932016733,5,-7.4595,-0.0817,2017,0,0
2017-01-06,"HARV",0.32916,0.000265348519375356,6,-8.0647,-4.2251,2017,0,0
2017-01-07,"HARV",0.32927,0.000110333631337324,7,-10.767,-7.9055,2017,0,0
2017-01-08,"HARV",0.32865,0.000741103211022437,8,-15.2039,-9.04,2017,0,0
2017-01-09,"HARV",0.32841,0.00019106436996308,9,-17.3522,-9.6471,2017,0,0
2017-01-10,"HARV",0.32982,8.99957459312006e-05,10,-12.0559,-0.2649,2017,0,0
2017-01-11,"HARV",0.32971,0.000308346958698757,11,-0.3822,8.6638,2017,0,0
2017-01-12,"HARV",0.33217,0.000246496760751995,12,2.9715,10.3528,2017,0,0
2017-01-13,"HARV",0.32894,0.000268788775275837,13,-3.0418,10.6821,2017,0,0
2017-01-14,"HARV",0.3283,0.000107203837884395,14,-11.464,-3.0426,2017,0,0
2017-01-15,"HARV",0.32855,0.000923050456533188,15,-6.7789,-0.5539,2017,0,0
2017-01-16,"HARV",0.32831,0.000372899907782885,16,-7.3002,1.874,2017,0,0
2017-01-17,"HARV",0.3283,0.000296576716165371,17,-1.977,4.0102,2017,0,0
2017-01-18,"HARV",0.32792,0.000288751355505256,18,-1.1669,-0.1349,2017,0,0
2017-01-19,"HARV",0.33022,0.000360917280363948,19,-1.6339,4.017,2017,0,0
2017-01-20,"HARV",0.32969,7.59202696711463e-05,20,-0.9257,2.1739,2017,0,0
2017-01-30,"HARV",0.32939,0.000473728125336358,30,-6.5223,-1.913,2017,0,0
2017-01-31,"HARV",0.3284,0.000169735203136165,31,-11.4457,-5.9805,2017,0,0
2017-02-01,"HARV",0.32916,0.000385712922748912,32,-6.4818,1.3235,2017,0,0
2017-02-02,"HARV",0.32875,0.00062353333675178,33,-4.5108,-0.4321,2017,0,0
2017-02-03,"HARV",0.32894,0.000180571898733563,34,-9.5796,-3.5038,2017,0,0
2017-02-04,"HARV",0.32869,0.000162476065427297,35,-11.6394,-3.5965,2017,0,0
2017-02-05,"HARV",0.32899,0.000136921034892076,36,-7.6837,0.6917,2017,0,0
2017-02-06,"HARV",0.32886,0.000260526026746357,37,-4.5119,0.4264,2017,0,0
2017-02-08,"HARV",0.32956,0.000125820409752162,39,-5.1073,6.0034,2017,0,0
2017-02-09,"HARV",0.33285,0.000391537641217031,40,-12.1683,1.6579,2017,0,0
2017-02-10,"HARV",0.32826,0.000195809475287184,41,-16.1546,-6.689,2017,0,0
2017-02-11,"HARV",0.32894,7.3624056073098e-05,42,-11.0358,-6.5006,2017,0,0
2017-02-12,"HARV",0.33093,0.000341508084584741,43,-9.7635,-3.5615,2017,0,0
2017-02-13,"HARV",0.32898,0.00042986466783519,44,-6.7118,-2.9903,2017,0,0
2017-02-14,"HARV",0.32874,0.000162400487583464,45,-9.7094,0.1828,2017,0,0
2017-02-15,"HARV",0.32988,0.000209479529953142,46,-3.1296,4.1444,2017,0,0
2017-02-16,"HARV",0.32967,0.000230139709120975,47,-4.4091,-0.1907,2017,0,0
2017-02-17,"HARV",0.32883,0.000163697705468074,48,-8.9662,1.2881,2017,0,0
2017-02-18,"HARV",0.33036,0.00023873655534322,49,-4.9133,8.1521,2017,0,0
2017-02-19,"HARV",0.33015,0.000137256054474087,50,6.321,12.6769,2017,0,0
2017-02-20,"HARV",0.32906,9.82643249150903e-05,51,-0.4988,7.6056,2017,0,0
2017-02-21,"HARV",0.32983,8.26156579515906e-05,52,-4.5278,4.2198,2017,0,0
2017-02-22,"HARV",0.33018,0.000205844339841768,53,0.1531,12.1248,2017,0,0
2017-02-23,"HARV",0.33006,0.000198806335874066,54,4.2603,16.7837,2017,0.522,0.522
2017-02-24,"HARV",0.33048,0.000227564209373427,55,8.6524,18.8879,2017,3.77015,4.29215
2017-02-25,"HARV",0.33012,0.000187864371398129,56,11.9187,17.4577,2017,4.6882,8.98035
2017-02-26,"HARV",0.32807,0.000358688907334613,57,-2.2159,14.2207,2017,0,8.98035
2017-02-27,"HARV",0.32762,0.000231893262744143,58,-4.024,8.7236,2017,0,8.98035
2017-02-28,"HARV",0.32804,0.000167382733852193,59,1.3943,12.6101,2017,0,8.98035
2017-03-01,"HARV",0.33012,0.000409136065386567,60,7.6653,13.6705,2017,0.667899999999999,9.64825
2017-03-02,"HARV",0.32729,0.000209669317872557,61,-3.6494,13.2962,2017,0,9.64825
2017-03-03,"HARV",0.32674,0.000363574085872975,62,-8.3948,-1.95,2017,0,9.64825
2017-03-04,"HARV",0.32654,0.00027278018061944,63,-15.6969,-4.9612,2017,0,9.64825
2017-03-05,"HARV",0.3271,0.00031431475450249,64,-16.8074,-4.6373,2017,0,9.64825
2017-03-06,"HARV",0.32736,0.000295972695927673,65,-11.8666,4.3486,2017,0,9.64825
2017-03-07,"HARV",0.32838,0.000192445164201358,66,-0.892,5.4914,2017,0,9.64825
2017-03-08,"HARV",0.32791,0.000184057417838081,67,5.0314,10.3914,2017,0,9.64825
2017-03-09,"HARV",0.32758,0.000402112424121238,68,1.4411,7.5544,2017,0,9.64825
2017-03-10,"HARV",0.32775,0.000125729973047194,69,-4.7215,2.0714,2017,0,9.64825
2017-03-11,"HARV",0.32824,0.000164102213045808,70,-16.9003,-4.6934,2017,0,9.64825
2017-03-12,"HARV",0.32677,5.57348826396618e-05,71,-16.8054,-7.1993,2017,0,9.64825
2017-03-13,"HARV",0.32685,0.000326318227051632,72,-14.2313,-1.8265,2017,0,9.64825
2017-03-14,"HARV",0.33503,0.00100754195051164,73,-7.1624,-3.2903,2017,0,9.64825
2017-03-15,"HARV",0.32957,0.000211214393448931,74,-12.3055,-4.7901,2017,0,9.64825
2017-03-16,"HARV",0.32941,0.000192439123689885,75,-10.3631,-2.63,2017,0,9.64825
2017-03-17,"HARV",0.32965,0.00019158575636205,76,-6.8741,2.9763,2017,0,9.64825
2017-03-18,"HARV",0.32989,0.000147028388207101,77,-7.3313,1.9578,2017,0,9.64825
2017-03-19,"HARV",0.32958,0.000312850374356,78,-4.1832,2.8923,2017,0,9.64825
2017-03-20,"HARV",0.33001,0.000206897880755759,79,-3.1471,8.47,2017,0,9.64825
2017-03-27,"HARV",0.33019,0.000782430984111683,86,-1.483,3.0431,2017,0,9.64825
